"","TG_0","TG_1","TG_2","tKO_0","tKO_1","tKO_2","WT_0","WT_1","WT_2"
"0610005C13Rik",0,0,2.5802,0,0,0,0,0,0
"0610007P14Rik",54.4738,51.2273,39.3153,51.0277,93.8255,103.306,84.0112,101.525,84.2527
"0610009B22Rik",15.6922,11.0193,9.30307,14.9156,11.512,13.6893,6.13921,16.101,21.4701
"0610009L18Rik",5.57423,0,0,0,0,9.7255,2.90773,0,1.52534
"0610009O20Rik",8.67546,10.6991,5.01778,4.02251,6.20921,7.38356,6.6226,11.0967,8.68522
"0610010B08Rik",0,0,0,0,0,0,0,0,0
"0610010F05Rik",1.77518,1.16357,0.935477,0.749925,2.60459,2.0648,1.852,1.3492,2.75265
"0610010K14Rik",78.1943,67.428,120.395,86.4921,41.2642,46.1177,85.0785,42.192,50.57
"0610011F06Rik",51.9543,53.6521,48.3153,33.8905,36.4329,33.3257,23.9129,33.0996,50.177
"0610012G03Rik",19.0853,22.1663,18.8579,16.2803,12.1165,6.40359,15.3163,5.02116,12.5542
"0610030E20Rik",3.68052,2.51092,2.90932,0.666359,1.15718,0,2.74271,0.479542,2.30203
"0610031J06Rik",35.2385,45.083,39.9896,48.6392,31.9944,39.5673,45.4993,44.5493,31.9832
"0610031O16Rik",0,0,0,0,0,0,0,0,0
"0610037L13Rik",13.4659,13.0937,10.9172,13.1277,15.1981,24.0967,16.2099,18.8946,22.6758
"0610038B21Rik",0.705182,1.48566,4.18066,2.23428,2.58666,6.15174,0.919622,0,0.964832
"0610039K10Rik",57.7943,72.4424,39.2983,15.7518,38.7515,21.685,53.4878,51.0106,45.9142
"0610040B10Rik",0,0,0,0,0,17.0047,5.08405,0,0
"0610040F04Rik",0,0,0,0,0,0,2.08501,0,0
"0610040J01Rik",0.279291,0,0,0,0,0,0,0,0
"0610043K17Rik",0,0,0,0,0,0,0,0,0
"1010001N08Rik",0,0,0,0,0,0,0,0,0
"1100001G20Rik",17.6914,16.5616,7.7691,0,0,0,0,0,2.68949
"1110001J03Rik",197.997,231.693,199.473,159.908,121.045,67.7355,116.446,66.3906,140.762
"1110002L01Rik",0.752108,0.422553,0,0.953186,1.10351,2.62444,1.17698,3.42978,0.411615
"1110004E09Rik",31.9781,44.2326,30.6394,24.5621,35.5448,21.1337,32.8564,27.6188,31.1571
"1110004F10Rik",60.6461,65.5218,55.3137,61.5865,79.8553,37.3051,81.116,76.2312,78.721
"1110006O24Rik",0.821961,4.61755,3.24865,5.20857,3.01501,0,2.14383,1.87416,0
"1110007C09Rik",21.6412,28.2228,24.438,4.89769,8.50516,40.455,20.1587,5.2869,12.6898
"1110008F13Rik",147.679,164.234,249.526,128.717,390.666,325.666,220.508,150.212,129.946
"1110008L16Rik",3.51695,3.14348,3.79094,4.05201,3.51829,2.78914,3.33558,3.28051,3.06212
"1110008P14Rik",20.4395,21.5288,44.4309,25.904,29.9894,53.4919,26.655,20.9719,30.7619
"1110012L19Rik",5.44504,2.29424,6.45616,6.90078,1.99728,9.50009,7.10083,8.6907,5.21494
"1110015O18Rik",0,0,0,0,0,0,0,0,0
"1110017D15Rik",0,0,0,0,0,0,0,0,0
"1110019D14Rik",0.718773,0,0,0,1.31825,0,0,0,0
"1110020A21Rik",0,0,0,0,0,0,0,0,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,0,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0
"1110032A03Rik",0.58967,0.414105,0,0,0,0,0,0,0
"1110032F04Rik",25.298,21.2092,16.2767,2.48538,1.43868,3.42155,9.71825,5.81294,9.9277
"1110034G24Rik",3.67026,4.63945,5.80242,9.30302,5.38511,0,1.91454,2.51058,3.51516
"1110036E04Rik",0,0,0,0,0,0,0,0,0
"1110037F02Rik",21.9802,22.0656,24.7828,18.3717,28.194,27.0564,21.1025,26.596,24.1695
